 *----------------------------------------------------* 
 |       ***	 Operation Timing Report 	***   |
 *----------------------------------------------------* 
 |   #  |   Operation                Duration (ms)    |
 | 121  |  Mode=2_t=1.00_threads=1_(75 X 75) 35981.89    |
 | 122  |  Mode=2_t=1.00_threads=2_(75 X 75) 18550.80    |
 | 123  |  Mode=2_t=1.00_threads=3_(75 X 75) 12681.39    |
 | 124  |  Mode=2_t=1.00_threads=4_(75 X 75) 9286.33     |
 | 125  |  Mode=2_t=1.00_threads=5_(75 X 75) 7864.31     |
 | 126  |  Mode=2_t=1.00_threads=6_(75 X 75) 6418.00     |
 | 127  |  Mode=2_t=1.00_threads=7_(75 X 75) 5346.34     |
 | 128  |  Mode=2_t=1.00_threads=8_(75 X 75) 4867.05     |
 | 129  |  Mode=2_t=1.50_threads=1_(75 X 75) 52693.38    |
 | 130  |  Mode=2_t=1.50_threads=2_(75 X 75) 26918.08    |
 | 131  |  Mode=2_t=1.50_threads=3_(75 X 75) 18426.83    |
 | 132  |  Mode=2_t=1.50_threads=4_(75 X 75) 13474.37    |
 | 133  |  Mode=2_t=1.50_threads=5_(75 X 75) 11343.36    |
 | 134  |  Mode=2_t=1.50_threads=6_(75 X 75) 9295.88     |
 | 135  |  Mode=2_t=1.50_threads=7_(75 X 75) 7877.69     |
 | 136  |  Mode=2_t=1.50_threads=8_(75 X 75) 7194.91     |
 | 137  |  Mode=2_t=2.00_threads=1_(75 X 75) 69141.82    |
 | 138  |  Mode=2_t=2.00_threads=2_(75 X 75) 35026.61    |
 | 139  |  Mode=2_t=2.00_threads=3_(75 X 75) 24022.46    |
 | 140  |  Mode=2_t=2.00_threads=4_(75 X 75) 17575.13    |
 | 141  |  Mode=2_t=2.00_threads=5_(75 X 75) 14693.29    |
 | 142  |  Mode=2_t=2.00_threads=6_(75 X 75) 12116.42    |
 | 143  |  Mode=2_t=2.00_threads=7_(75 X 75) 10210.43    |
 | 144  |  Mode=2_t=2.00_threads=8_(75 X 75) 9036.88     |
 | 145  |  Mode=3_t=0.10_threads=1_(75 X 75) 1350.22     |
 | 146  |  Mode=3_t=0.10_threads=2_(75 X 75) 852.60      |
 | 147  |  Mode=3_t=0.10_threads=3_(75 X 75) 606.59      |
 | 148  |  Mode=3_t=0.10_threads=4_(75 X 75) 482.04      |
 | 149  |  Mode=3_t=0.10_threads=5_(75 X 75) 440.42      |
 | 150  |  Mode=3_t=0.10_threads=6_(75 X 75) 367.56      |
 | 151  |  Mode=3_t=0.10_threads=7_(75 X 75) 299.50      |
 | 152  |  Mode=3_t=0.10_threads=8_(75 X 75) 308.13      |
 | 153  |  Mode=3_t=0.25_threads=1_(75 X 75) 2684.69     |
 | 154  |  Mode=3_t=0.25_threads=2_(75 X 75) 1464.57     |
 | 155  |  Mode=3_t=0.25_threads=3_(75 X 75) 1055.72     |
 | 156  |  Mode=3_t=0.25_threads=4_(75 X 75) 749.00      |
 | 157  |  Mode=3_t=0.25_threads=5_(75 X 75) 674.88      |
 | 158  |  Mode=3_t=0.25_threads=6_(75 X 75) 588.84      |
 | 159  |  Mode=3_t=0.25_threads=7_(75 X 75) 534.46      |
 | 160  |  Mode=3_t=0.25_threads=8_(75 X 75) 517.12      |
 | 161  |  Mode=3_t=0.50_threads=1_(75 X 75) 4477.39     |
 | 162  |  Mode=3_t=0.50_threads=2_(75 X 75) 2203.64     |
 | 163  |  Mode=3_t=0.50_threads=3_(75 X 75) 1571.67     |
 | 164  |  Mode=3_t=0.50_threads=4_(75 X 75) 1165.77     |
 | 165  |  Mode=3_t=0.50_threads=5_(75 X 75) 1027.97     |
 | 166  |  Mode=3_t=0.50_threads=6_(75 X 75) 881.62      |
 | 167  |  Mode=3_t=0.50_threads=7_(75 X 75) 772.32      |
 | 168  |  Mode=3_t=0.50_threads=8_(75 X 75) 730.19      |
 | 169  |  Mode=3_t=1.00_threads=1_(75 X 75) 7678.59     |
 | 170  |  Mode=3_t=1.00_threads=2_(75 X 75) 3933.15     |
 | 171  |  Mode=3_t=1.00_threads=3_(75 X 75) 3223.23     |
 | 172  |  Mode=3_t=1.00_threads=4_(75 X 75) 2442.17     |
 | 173  |  Mode=3_t=1.00_threads=5_(75 X 75) 2088.83     |
 | 174  |  Mode=3_t=1.00_threads=6_(75 X 75) 1769.07     |
 | 175  |  Mode=3_t=1.00_threads=7_(75 X 75) 1517.34     |
 | 176  |  Mode=3_t=1.00_threads=8_(75 X 75) 1456.53     |
 | 177  |  Mode=3_t=1.50_threads=1_(75 X 75) 12844.36    |
 | 178  |  Mode=3_t=1.50_threads=2_(75 X 75) 6619.49     |
 | 179  |  Mode=3_t=1.50_threads=3_(75 X 75) 4634.35     |
 | 180  |  Mode=3_t=1.50_threads=4_(75 X 75) 3452.00     |
 | 181  |  Mode=3_t=1.50_threads=5_(75 X 75) 3006.14     |
